2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['人物传记', '232630', 'https://book.douban.com/tag/人物传记', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['艺术史', '217352', 'https://book.douban.com/tag/艺术史', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['国学', '211368', 'https://book.douban.com/tag/国学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['人文', '190150', 'https://book.douban.com/tag/人文', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['音乐', '171538', 'https://book.douban.com/tag/音乐', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['绘画', '168472', 'https://book.douban.com/tag/绘画', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['西方哲学', '167136', 'https://book.douban.com/tag/西方哲学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['戏剧', '166261', 'https://book.douban.com/tag/戏剧', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['近代史', '140123', 'https://book.douban.com/tag/近代史', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['二战', '134150', 'https://book.douban.com/tag/二战', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['军事', '116342', 'https://book.douban.com/tag/军事', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['佛教', '110756', 'https://book.douban.com/tag/佛教', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['考古', '82320', 'https://book.douban.com/tag/考古', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['自由主义', '65620', 'https://book.douban.com/tag/自由主义', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['美术', '61961', 'https://book.douban.com/tag/美术', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['爱情', '1391255', 'https://book.douban.com/tag/爱情', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['成长', '1085689', 'https://book.douban.com/tag/成长', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['生活', '841382', 'https://book.douban.com/tag/生活', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['心理', '766478', 'https://book.douban.com/tag/心理', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['女性', '745826', 'https://book.douban.com/tag/女性', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['旅行', '675205', 'https://book.douban.com/tag/旅行', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['励志', '554810', 'https://book.douban.com/tag/励志', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['教育', '421475', 'https://book.douban.com/tag/教育', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['摄影', '392311', 'https://book.douban.com/tag/摄影', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['职场', '289955', 'https://book.douban.com/tag/职场', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['美食', '251715', 'https://book.douban.com/tag/美食', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['游记', '210788', 'https://book.douban.com/tag/游记', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['灵修', '155537', 'https://book.douban.com/tag/灵修', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['健康', '146383', 'https://book.douban.com/tag/健康', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['情感', '134908', 'https://book.douban.com/tag/情感', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['人际关系', '83980', 'https://book.douban.com/tag/人际关系', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['两性', '81377', 'https://book.douban.com/tag/两性', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['养生', '50267', 'https://book.douban.com/tag/养生', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['手工', '45596', 'https://book.douban.com/tag/手工', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['家居', '35905', 'https://book.douban.com/tag/家居', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['自助游', '2774', 'https://book.douban.com/tag/自助游', 4]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['经济学', '661851', 'https://book.douban.com/tag/经济学', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['管理', '606914', 'https://book.douban.com/tag/管理', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['经济', '557263', 'https://book.douban.com/tag/经济', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['商业', '511659', 'https://book.douban.com/tag/商业', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['金融', '422856', 'https://book.douban.com/tag/金融', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['投资', '388410', 'https://book.douban.com/tag/投资', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['营销', '219925', 'https://book.douban.com/tag/营销', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['理财', '200836', 'https://book.douban.com/tag/理财', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['创业', '163370', 'https://book.douban.com/tag/创业', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['股票', '106879', 'https://book.douban.com/tag/股票', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['广告', '86755', 'https://book.douban.com/tag/广告', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['企业史', '30785', 'https://book.douban.com/tag/企业史', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['策划', '10948', 'https://book.douban.com/tag/策划', 5]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['科普', '1023311', 'https://book.douban.com/tag/科普', 6]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['互联网', '318824', 'https://book.douban.com/tag/互联网', 6]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['科学', '235618', 'https://book.douban.com/tag/科学', 6]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['编程', '210498', 'https://book.douban.com/tag/编程', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['交互设计', '81599', 'https://book.douban.com/tag/交互设计', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['算法', '70226', 'https://book.douban.com/tag/算法', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['用户体验', '68304', 'https://book.douban.com/tag/用户体验', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['科技', '48775', 'https://book.douban.com/tag/科技', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['web', '23436', 'https://book.douban.com/tag/web', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['交互', '6872', 'https://book.douban.com/tag/交互', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['通信', '6713', 'https://book.douban.com/tag/通信', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['UE', '5740', 'https://book.douban.com/tag/UE', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['神经网络', '4947', 'https://book.douban.com/tag/神经网络', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['UCD', '3603', 'https://book.douban.com/tag/UCD', 6]
2022-09-19 22:48:43 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['程序', '1530', 'https://book.douban.com/tag/程序', 6]
